Isoform	Sample	H0_cyclo_count	H1_cyclo_count	H2_cyclo_count	H0_noncyclo_count	H1_noncyclo_count	H2_noncyclo_count	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.4	Patient1	0	0	0	0	0	0	0	0	1902	1717	0.0	0.0	26.5	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	0.0	0.0			1465.670973255149	1777.0814532920956	-0.8247629676962474	0.0	2.1787074655788907					2.0	
PB.161541.4	Patient10	1	0	0	1	0	0	1	1	1394	2180	717.3601147776184	458.7155963302753	19.0	23.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	3.0	2.0	0.3333333333333333	0.5	1465.670973255149	1777.0814532920956	-0.5666343402883752	-87.18773675633821	0.20210439145028766						
PB.161541.4	Patient11	1	1	1	0	1	0	3	1	1367	2226	2194.5866861741038	449.23629829290206	11.0	24.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	6.0	5.0	0.5	0.2	1465.670973255149	1777.0814532920956	-0.5719685347451416	-86.89142061774962	0.2088220723104409						
PB.161541.4	Patient13	0	0	1	0	0	2	1	2	2218	2495	450.8566275924256	801.6032064128257	21.0	17.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	2.0	3.0	0.5	0.6666666666666666	1465.670973255149	1777.0814532920956	-0.37368448453058706	-95.11281977705231	0.022437570814194976						
PB.161541.4	Patient14	0	3	1	0	0	0	4	0	1161	1708	3445.305770887166	0.0	6.0	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	6.0	0.4444444444444444	0.0	1465.670973255149	1777.0814532920956	-0.8247629676962474	0.0	2.1787074655788907	1.0	1.0	1.0	1.0	1.0	
PB.161541.4	Patient15	1	1	2	0	1	1	4	2	1376	2573	2906.9767441860463	777.3027594247959	9.0	19.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	6.0	15.0	0.6666666666666666	0.13333333333333333	1465.670973255149	1777.0814532920956	-0.38735884196817805	-94.67557535104332	0.03235018821600101						
PB.161541.4	Patient16	0	0	0	0	0	1	0	1	1395	1271	0.0	786.7820613690008	26.5	18.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	3.0	3.0	0.0	0.3333333333333333	1465.670973255149	1777.0814532920956	-0.3820246453129577	-94.84774168465081	0.028447064715719516						
PB.161541.4	Patient18	6	4	2	1	0	1	12	2	988	1387	12145.748987854251	1441.9610670511895	1.0	12.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	21.0	12.0	0.5714285714285714	0.16666666666666666	1465.670973255149	1777.0814532920956	-0.013342048086786436	-101.71105390042936	-0.1445375450430404						
PB.161541.4	Patient19	0	0	0	0	0	1	0	1	1229	1548	0.0	645.9948320413437	26.5	20.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	6.0	22.0	0.0	0.045454545454545456	1465.670973255149	1777.0814532920956	-0.46124849240609156	-92.04772606418356	0.09192525200358183						
PB.161541.4	Patient2	0	1	0	0	0	0	1	0	1277	1085	783.0853563038371	0.0	17.0	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	3.0	9.0	0.3333333333333333	0.0	1465.670973255149	1777.0814532920956	-0.8247629676962474	0.0	2.1787074655788907						
PB.161541.4	Patient21	0	0	0	0	0	0	0	0	1417	1328	0.0	0.0	26.5	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	4.0	8.0	0.0	0.0	1465.670973255149	1777.0814532920956	-0.8247629676962474	0.0	2.1787074655788907					1.0	
PB.161541.4	Patient22	1	2	1	0	0	1	4	1	1221	2106	3276.0032760032764	474.8338081671415	7.0	22.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	9.0	6.0	0.4444444444444444	0.16666666666666666	1465.670973255149	1777.0814532920956	-0.5575642935513465	-87.67782576002874	0.1909937528750651						
