#readname	haplotype
Sample11_m88888_231120_235038_s1/113246268/ccs/3764_5682	H2
Sample11_m88888_231117_223025_s4/25563825/ccs/7613_9532	H1
Sample11_m88888_231120_235038_s1/154993543/ccs/9275_11198	H1
Sample11_m88888_231120_235038_s1/31654148/ccs/10816_12731	none
Sample11_m88888_231117_223025_s4/197526030/ccs/15922_17841	H2
Sample11_m88888_231120_235038_s1/20055453/ccs/2476_4396	none
Sample11_m88888_231117_223025_s4/174069184/ccs/14035_15953	H2
Sample11_m88888_231120_235038_s1/175771207/ccs/17163_19080	H2
Sample11_m88888_231117_223025_s4/133763905/ccs/4104_6023	H2
Sample11_m88888_231117_223025_s4/148050560/ccs/14615_16533	H1
Sample11_m88888_231117_223025_s4/191169914/ccs/4908_6826	none
Sample11_m88888_231120_235038_s1/163124881/ccs/65_1985	H1
Sample11_m88888_231117_223025_s4/207292794/ccs/16831_18749	none
Sample11_m88888_231120_235038_s1/136381441/ccs/10930_12849	none
Sample11_m88888_231117_223025_s4/158076141/ccs/3686_5605	none
Sample11_m88888_231117_223025_s4/214827559/ccs/67_1984	none
Sample11_m88888_231120_235038_s1/112986769/ccs/17359_19277	none
Sample11_m88888_231117_223025_s4/154731774/ccs/6191_8109	H1
Sample11_m88888_231117_223025_s4/187306439/ccs/18128_20046	none
Sample11_m88888_231117_223025_s4/149492632/ccs/8467_10385	none
Sample11_m88888_231120_235038_s1/68813831/ccs/67_1987	none
Sample11_m88888_231117_223025_s4/18420660/ccs/6427_8345	H2
Sample11_m88888_231117_223025_s4/97454791/ccs/1539_3456	H1
Sample11_m88888_231117_223025_s4/52235627/ccs/12830_14750	none
Sample11_m88888_231117_223025_s4/66850625/ccs/14599_16518	H2
Sample11_m88888_231117_223025_s4/202768457/ccs/12258_14176	none
Sample11_m88888_231117_223025_s4/115409918/ccs/39_1955	H2
Sample11_m88888_231120_235038_s1/42403545/ccs/12155_14075	H2
Sample11_m88888_231117_223025_s4/57612243/ccs/20135_22058	none
Sample11_m88888_231120_235038_s1/220138290/ccs/1260_3176	H2
Sample11_m88888_231120_235038_s1/38864740/ccs/6530_8449	none
Sample11_m88888_231120_235038_s1/180816649/ccs/11968_13887	H1
Sample11_m88888_231117_223025_s4/179180440/ccs/10298_12216	none
Sample11_m88888_231120_235038_s1/218497988/ccs/1775_3693	none
Sample11_m88888_231117_223025_s4/174397237/ccs/5300_7217	H2
Sample11_m88888_231117_223025_s4/166729119/ccs/17211_19129	H2
Sample11_m88888_231117_223025_s4/247469555/ccs/18915_20831	none
