associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Cyclo_TPM	SD_Cyclo_TPM	Cyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
VTA1	Patient22	754	1319	617526.6175266175	626305.7929724597	1221	2106	4.0	8.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	0.8066243268022553	-6.764635034157055	0.6050151478967798	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient28	851	786	577732.5186693822	653910.1497504159	1473	1202	12.0	4.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	0.4196636537921124	-8.592781577199236	0.332020681609202						
VTA1	Patient29	569	1270	545019.1570881226	683898.761443188	1044	1857	14.0	3.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	0.10155657818467506	-10.192554055639835	0.09312898247511898						
VTA1	Patient31	673	1178	696687.370600414	634015.0699677072	966	1858	2.0	6.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	1.576389170462148	-3.454361987239181	1.0993334109205377	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient4	920	891	592020.592020592	614482.7586206896	1554	1450	8.0	9.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	0.5586019044065538	-7.92228755661437	0.4321445792230021	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient6	866	1080	540574.2821473158	630105.0175029171	1602	1714	15.0	7.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	0.05833429528511445	-10.417298286752304	0.05956825308103952						
VTA1	Patient9	1124	909	652729.3844367014	608841.259209645	1722	1493	3.0	10.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	534575.3244359668	102837.579198112	1.1489385584730278	-5.243069476869878	0.8322283211591103	1.0	1.0	1.0	1.0	1.0	
novelGene_SRSF6_AS	Patient14	9	6	7751.937984496124	3512.88056206089	1161	1708	8.0	20.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5568.635320149852	5558.793013243623	0.39276559842120984	-18.861757465588198	0.333245046204639						
novelGene_SRSF6_AS	Patient17	9	14	9230.76923076923	11409.942950285247	975	1227	7.0	5.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5568.635320149852	5558.793013243623	0.6588001931164691	-15.821654018682752	0.4315828188420034						
novelGene_SRSF6_AS	Patient18	21	12	21255.06072874494	8651.766402307137	988	1387	2.0	7.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5568.635320149852	5558.793013243623	2.821912125747936	-1.2985887274157697	0.9013582450907239	1.0	1.0	1.0	1.0	1.0	
novelGene_SRSF6_AS	Patient22	9	6	7371.007371007372	2849.002849002849	1221	2106	9.0	23.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5568.635320149852	5558.793013243623	0.3242380219165264	-19.73910296234995	0.30486568231398126						
novelGene_SRSF6_AS	Patient23	7	14	10526.315789473683	12079.378774805868	665	1159	5.0	3.0	4360.46511627907	4308.023694130317	5568.635320149852	5786.175889951817	5568.635320149852	5558.793013243623	0.8918627582484789	-13.534810509209995	0.505555004663731						
