Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161551.18	Patient26	172	114	1690	1469	101775.14792899409	77603.81211708646	11.0	7.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	668.0	201.0	0.25748502994011974	0.5671641791044776	45828.29338733267	30897.59039733579	1.0284141358962964	-11.742611885388266	0.318358799928347						
PB.161551.18	Patient28	74	64	1473	1202	50237.61031907671	53244.59234608985	16.0	13.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	299.0	165.0	0.24749163879598662	0.3878787878787879	45828.29338733267	30897.59039733579	0.24002839261525927	-20.06270248569687	0.13407582678361454						
PB.161551.18	Patient3	192	131	1987	2019	96628.08253648717	64883.60574541853	12.0	9.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	371.0	172.0	0.5175202156334232	0.7616279069767442	45828.29338733267	30897.59039733579	0.6167248679602194	-15.69641510246664	0.23078540114283555						
PB.161551.18	Patient4	82	74	1554	1450	52767.05276705277	51034.482758620696	15.0	14.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	197.0	100.0	0.41624365482233505	0.74	45828.29338733267	30897.59039733579	0.16849823252679735	-20.999011416145457	0.1133373755125875						
PB.161551.18	Patient5	270	156	1596	1993	169172.93233082705	78273.95885599598	1.0	6.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	354.0	682.0	0.7627118644067796	0.2287390029325513	45828.29338733267	30897.59039733579	1.0501034239699485	-11.55271027628634	0.3225649600306148						
PB.161551.18	Patient7	202	139	1726	1705	117033.60370799537	81524.926686217	7.0	4.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	262.0	375.0	0.7709923664122137	0.37066666666666664	45828.29338733267	30897.59039733579	1.1553209437963925	-10.653959590355825	0.3424715279366181						
PB.161551.18	Patient8	169	97	1359	1179	124356.1442236939	82273.11280746396	3.0	3.0	50237.61031907671	41351.1939429237	66146.65887260679	45828.29338733267	SRSF6	217.0	262.0	0.7788018433179723	0.3702290076335878	45828.29338733267	30897.59039733579	1.1795359751831593	-10.452195215759952	0.3469404382660124						
PB.161551.19	Patient11	123	81	1367	2226	89978.05413313826	36388.14016172507	2.0	1.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	299.0	1145.0	0.411371237458194	0.07074235807860262	9691.84586219	10474.678769756127	2.5486504060264004	3.0727994148097983	0.603173711781686						
PB.161551.19	Patient13	94	62	2218	2495	42380.52299368801	24849.699398797595	4.0	4.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	387.0	696.0	0.24289405684754523	0.08908045977011494	9691.84586219	10474.678769756127	1.4470948341034904	-6.8072574943586135	0.4445718142067759						
PB.161551.19	Patient15	32	51	1376	2573	23255.81395348837	19821.220365332298	6.0	7.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	324.0	294.0	0.09876543209876543	0.17346938775510204	9691.84586219	10474.678769756127	0.9670343812727854	-10.842557338256098	0.37979423059468437						
PB.161551.19	Patient21	20	25	1417	1328	14114.326040931546	18825.30120481928	9.0	8.0	7078.507078507078	5507.474429583005	16450.57042214269	9691.84586219	SRSF6	334.0	122.0	0.059880239520958084	0.20491803278688525	9691.84586219	10474.678769756127	0.8719556507069787	-11.762639283817887	0.3650244024619032						
