Isoform,Sample,cyclo_count,noncyclo_count,total_cyclo,total_noncyclo,Cyclo_TPM,Noncyclo_TPM,Cyclo_TPM_Rank,Noncyclo_TPM_Rank,Cyclo_TPM_Median,Noncyclo_TPM_Median,Cyclo_TPM_Mean,Noncyclo_TPM_Mean,associated_gene
PB.59138.479,Patient27,300,505,917,1439,327153.7622682661,350938.1514940931,11.0,14.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient28,295,235,1473,1202,200271.55465037338,195507.48752079866,27.0,28.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient29,366,505,1044,1857,350574.7126436782,271943.9956919763,7.0,20.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient3,574,808,1987,2019,288877.70508303976,400198.1178801387,18.0,7.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient30,410,488,1658,1808,247285.88661037394,269911.50442477874,24.0,21.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient31,122,508,966,1858,126293.99585921325,273412.27125941875,29.0,19.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient4,389,436,1554,1450,250321.7503217503,300689.6551724138,23.0,17.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient5,547,419,1596,1993,342731.82957393484,210235.825388861,8.0,25.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient6,637,508,1602,1714,397627.9650436954,296382.73045507586,4.0,18.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient7,583,414,1726,1705,337775.20278099657,242815.24926686217,9.0,24.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient8,394,239,1359,1179,289919.05813097866,202714.16454622563,17.0,27.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.479,Patient9,559,529,1722,1493,324622.53193960513,354320.16075016744,12.0,13.0,292151.1627906977,320030.1204819277,297745.67270134075,310354.51345884235,HARS1
PB.59138.482,Patient1,1,1,1902,1717,525.7623554153522,582.4111822947001,12.0,10.0,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient10,0,0,1394,2180,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient11,0,0,1367,2226,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient12,0,0,1791,2004,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient13,0,0,2218,2495,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient14,0,0,1161,1708,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient15,0,0,1376,2573,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient16,1,3,1395,1271,716.8458781362007,2360.3461841070025,10.0,6.0,0.0,0.0,541.314056630287,756.8068499073898,HARS1
PB.59138.482,Patient17,0,0,975,1227,0.0,0.0,22.0,21.5,0.0,0.0,541.314056630287,756.8068499073898,HARS1
