Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	Avg_Cyclo_TPM	SD_Cyclo_TPM	Cyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.4	Patient30	6	2	1658	1808	3618.8178528347407	1106.1946902654868	5.0	14.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	16.0	21.0	0.375	0.09523809523809523	2194.2860325263987	3068.637954529252	0.4642228380854639	-17.042616283211576	0.3881247937930296						
PB.161551.113	Patient14	4	0	1161	1708	3445.305770887166	0.0	4.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	121.0	44.0	0.03305785123966942	0.0	1593.7473141837554	3954.535401451566	0.4682113747227477	-2.6562582678800117	2.0225139582653666	1.0	1.0	1.0	1.0	1.0	
PB.161551.113	Patient16	5	0	1395	1271	3584.2293906810037	0.0	3.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	93.0	54.0	0.053763440860215055	0.0	1593.7473141837554	3954.535401451566	0.5033415747818605	-2.5992435485446026	2.032327138838658	1.0	1.0	1.0	1.0	1.0	
PB.161551.113	Patient19	5	0	1229	1548	4068.3482506102523	0.0	2.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	74.0	31.0	0.06756756756756757	0.0	1593.7473141837554	3954.535401451566	0.625762747127807	-2.416511227111076	2.063778407698808						
PB.161551.113	Patient27	2	0	917	1439	2181.0250817884407	0.0	8.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	92.0	45.0	0.021739130434782608	0.0	1593.7473141837554	3954.535401451566	0.14850739922295728	-3.315641292007622	1.9090231832838842						
PB.161551.113	Patient28	32	3	1473	1202	21724.37202987101	2495.840266222962	1.0	5.0	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	299.0	165.0	0.10702341137123746	0.01818181818181818	1593.7473141837554	3954.535401451566	5.090515742582058	2.4165112271110756	2.895621879189858						
PB.161551.113	Patient3	5	0	1987	2019	2516.356316054353	0.0	6.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	371.0	172.0	0.013477088948787063	0.0	1593.7473141837554	3954.535401451566	0.2333040188569159	-3.109399541734816	1.9445208154878157						
PB.161551.113	Patient30	4	0	1658	1808	2412.5452352231605	0.0	7.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	496.0	127.0	0.008064516129032258	0.0	1593.7473141837554	3954.535401451566	0.20705287421092605	-3.1701551107938157	1.9340637725178826						
PB.161551.113	Patient4	5	1	1554	1450	3217.5032175032175	689.655172413793	5.0	7.0	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	197.0	100.0	0.025380710659898477	0.01	1593.7473141837554	3954.535401451566	0.41060598489608674	-2.7549190660588048	2.005532795517938						
PB.161551.121	Patient18	3	0	988	1387	3036.4372469635628	0.0	2.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	157.0	82.0	0.01910828025477707	0.0	553.9135859123627	1460.129433249355	1.700207943570195	-1.2980127621662612	2.371519174895188						
PB.161551.121	Patient23	1	0	665	1159	1503.7593984962407	0.0	4.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	27.0	18.0	0.037037037037037035	0.0	553.9135859123627	1460.129433249355	0.6505216530496903	-2.311334537691956	2.1637927479314385						
PB.161551.121	Patient25	1	0	1372	1946	728.862973760933	0.0	5.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	341.0	346.0	0.002932551319648094	0.0	553.9135859123627	1460.129433249355	0.11981772565137594	-3.3551698258380767	1.9498111875008628						
PB.161551.121	Patient26	1	0	1690	1469	591.7159763313609	0.0	8.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	668.0	201.0	0.0014970059880239522	0.0	553.9135859123627	1460.129433249355	0.025889753030231877	-3.6554545151218707	1.888254170684085						
