associated_gene	Sample	cyclo_count	noncyclo_count	Cyclo_TPM	Noncyclo_TPM	total_cyclo	total_noncyclo	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	Avg_Noncyclo_TPM	SD_Noncyclo_TPM	Noncyclo_TPM_Z_Score	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
SRSF6	Patient15	324	294	235465.11627906974	114263.505635445	1376	2573	5.0	11.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	108178.14236289564	112904.70241676933	0.05389822693200358	-34.61353591452695	0.5481547304712864	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient25	341	346	248542.2740524781	177800.61664953752	1372	1946	3.0	6.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	108178.14236289564	112904.70241676933	0.6166481359619713	-24.44067235033819	0.9501809179999359	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient26	668	201	395266.2721893491	136827.7739959156	1690	1469	1.0	10.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	108178.14236289564	112904.70241676933	0.25375056148914427	-30.467237705564823	0.7120142426713638						
SRSF6	Patient28	299	165	202987.10115410725	137271.2146422629	1473	1202	8.0	9.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	108178.14236289564	112904.70241676933	0.2576781272756463	-30.39279425844121	0.714956208327814						
SRSF6	Patient5	354	682	221804.51127819548	342197.69192172604	1596	1993	6.0	2.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	108178.14236289564	112904.70241676933	2.0727174736707186	-9.377068587583715	1.5454865714150703	1.0	1.0	1.0	1.0	1.0	
SRSF6	Patient7	262	375	151796.06025492467	219941.34897360703	1726	1705	15.0	5.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	108178.14236289564	112904.70241676933	0.989889740802431	-19.547025076720065	1.143575269954911						
SRSF6	Patient8	217	262	159676.23252391466	222222.22222222222	1359	1179	12.0	4.0	126769.62676962678	67276.64155005381	138239.81160383418	108178.14236289564	108178.14236289564	112904.70241676933	1.0100914967948051	-19.30965756367782	1.1529559085243168						
VTA1	Patient1	1133	979	595688.7486855942	570180.5474665114	1902	1717	6.0	15.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	0.12285191874438059	-11.424721611325497	0.15207311175999655						
VTA1	Patient10	741	1255	531563.8450502153	575688.0733944954	1394	2180	17.0	14.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	0.17624146658753684	-11.160179224457137	0.1971534988281266						
VTA1	Patient12	1046	1180	584031.2674483529	588822.3552894212	1791	2004	11.0	12.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	0.30356422108454867	-10.53937940869061	0.3029433358288224						
VTA1	Patient14	693	1194	596899.2248062015	699063.2318501171	1161	1708	5.0	2.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	1.3722311017075053	-5.81657738436664	1.1077510107842066						
VTA1	Patient19	725	912	589910.4963384866	589147.2868217054	1229	1548	9.0	11.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	0.30671408325777855	-10.524197443489925	0.3055304783877287						
VTA1	Patient2	1009	937	790133.1245105717	863594.470046083	1277	1085	1.0	1.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	2.9671847212127735	5.816577384366638	3.090144554617018	1.0	1.0	1.0	1.0	1.0	
VTA1	Patient22	754	1319	617526.6175266175	626305.7929724597	1221	2106	4.0	8.0	534216.3355408389	554969.8795180722	534575.3244359668	557507.4652786839	557507.4652786839	103157.38099456528	0.6669258857725393	-8.841036493481974	0.592356147508487	1.0	1.0	1.0	1.0	1.0	
