Isoform	Sample	cyclo_count	noncyclo_count	total_cyclo	total_noncyclo	Cyclo_TPM	Noncyclo_TPM	Cyclo_TPM_Rank	Noncyclo_TPM_Rank	Cyclo_TPM_Median	Noncyclo_TPM_Median	Cyclo_TPM_Mean	Noncyclo_TPM_Mean	associated_gene	gene_cyclo_count	gene_noncyclo_count	isoform_cyclo_proportion	isoform_noncyclo_proportion	CycloFraction	NoncycloFraction	NormalizedCycloFraction	NormalizedNoncycloFraction	NormalizedFractionDifference	test_statistic	z_score_of_test_stat	rank_top_99_9_percentile	rank_top_99_5_percentile	rank_top_99_percentile	rank_top_98_percentile	rank_top_95_percentile	Phenotypes
PB.161541.4	Patient30	6	2	1658	1808	3618.8178528347407	1106.1946902654868	5.0	14.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	16.0	21.0	0.375	0.09523809523809523	0.0036188178528347406	0.0011061946902654867	0.7658853431234115	0.23411465687658856	0.531770686246823	20.20406534348188	0.5538884201874403						
PB.161541.4	Patient7	2	0	1726	1705	1158.7485515643104	0.0	14.0	28.0	944.2870632672333	848.1764206955047	2194.2860325263987	1465.670973255149	novelGene_SRSF6_AS	3.0	2.0	0.6666666666666666	0.0	0.0011587485515643105	0.0	1.0	0.0	1.0	103.63683910142653	2.8411730068784498	1.0	1.0	1.0	1.0	1.0	
PB.161551.113	Patient1	1	0	1902	1717	525.7623554153522	0.0	14.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	191.0	95.0	0.005235602094240838	0.0	0.0005257623554153522	0.0	1.0	0.0	1.0	81.76457159034882	1.3880971276429253						
PB.161551.113	Patient14	4	0	1161	1708	3445.305770887166	0.0	4.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	121.0	44.0	0.03305785123966942	0.0	0.0034453057708871662	0.0	1.0	0.0	1.0	138.08704148430022	2.3442699193655603						
PB.161551.113	Patient16	5	0	1395	1271	3584.2293906810037	0.0	3.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	93.0	54.0	0.053763440860215055	0.0	0.0035842293906810036	0.0	1.0	0.0	1.0	139.43006566323675	2.367070112271565	1.0	1.0	1.0	1.0	1.0	
PB.161551.113	Patient19	5	0	1229	1548	4068.3482506102523	0.0	2.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	74.0	31.0	0.06756756756756757	0.0	0.0040683482506102524	0.0	1.0	0.0	1.0	143.77830799740966	2.440889158552402					1.0	
PB.161551.113	Patient20	3	1	1888	1738	1588.9830508474577	575.3739930955121	9.0	9.0	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	54.0	81.0	0.05555555555555555	0.012345679012345678	0.0015889830508474577	0.0005753739930955121	0.734159391720642	0.2658406082793579	0.46831878344128414	15.569969435440507	0.2643275618088627						
PB.161551.113	Patient23	1	0	665	1159	1503.7593984962407	0.0	10.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	27.0	18.0	0.037037037037037035	0.0	0.0015037593984962407	0.0	1.0	0.0	1.0	111.42483593881268	1.891632178905791						
PB.161551.113	Patient24	1	0	1059	1661	944.2870632672333	0.0	12.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	27.0	41.0	0.037037037037037035	0.0	0.0009442870632672333	0.0	1.0	0.0	1.0	97.72056706556404	1.6589781590852044						
PB.161551.113	Patient27	2	0	917	1439	2181.0250817884407	0.0	8.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	92.0	45.0	0.021739130434782608	0.0	0.0021810250817884407	0.0	1.0	0.0	1.0	123.0276384820221	2.0886101189790205						
PB.161551.113	Patient28	32	3	1473	1202	21724.37202987101	2495.840266222962	1.0	5.0	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	299.0	165.0	0.10702341137123746	0.01818181818181818	0.02172437202987101	0.0024958402662229617	0.8969521721894457	0.1030478278105543	0.7939043443788913	44.96770524693951	0.7634057303290293						
PB.161551.113	Patient29	1	0	1044	1857	957.8544061302681	0.0	11.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	61.0	35.0	0.01639344262295082	0.0	0.0009578544061302681	0.0	1.0	0.0	1.0	98.1272479072872	1.665882280237965						
PB.161551.113	Patient3	5	0	1987	2019	2516.356316054353	0.0	6.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	371.0	172.0	0.013477088948787063	0.0	0.0025163563160543532	0.0	1.0	0.0	1.0	127.64435680699731	2.1669870164712712						
PB.161551.113	Patient30	4	0	1658	1808	2412.5452352231605	0.0	7.0	20.5	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	496.0	127.0	0.008064516129032258	0.0	0.0024125452352231603	0.0	1.0	0.0	1.0	126.27549449100898	2.14374817583401						
PB.161551.113	Patient4	5	1	1554	1450	3217.5032175032175	689.655172413793	5.0	7.0	0.0	0.0	1593.7473141837554	932.8418843042037	SRSF6	197.0	100.0	0.025380710659898477	0.01	0.0032175032175032173	0.000689655172413793	0.8234893230349841	0.1765106769650159	0.6469786460699682	25.872928277659803	0.4392383733857924						
PB.161551.121	Patient1	1	0	1902	1717	525.7623554153522	0.0	9.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	191.0	95.0	0.005235602094240838	0.0	0.0005257623554153522	0.0	1.0	0.0	1.0	81.76457159034882	1.5568439811289834						
PB.161551.121	Patient18	3	0	988	1387	3036.4372469635628	0.0	2.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	157.0	82.0	0.01910828025477707	0.0	0.003036437246963563	0.0	1.0	0.0	1.0	133.8388995818054	2.5483688253000634						
PB.161551.121	Patient23	1	0	665	1159	1503.7593984962407	0.0	4.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	27.0	18.0	0.037037037037037035	0.0	0.0015037593984962407	0.0	1.0	0.0	1.0	111.42483593881268	2.1215922960954012						
PB.161551.121	Patient25	1	0	1372	1946	728.862973760933	0.0	5.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	341.0	346.0	0.002932551319648094	0.0	0.0007288629737609329	0.0	1.0	0.0	1.0	90.48707464180796	1.7229254038272983	1.0	1.0	1.0	1.0	2.0	
PB.161551.121	Patient26	1	0	1690	1469	591.7159763313609	0.0	8.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	668.0	201.0	0.0014970059880239522	0.0	0.000591715976331361	0.0	1.0	0.0	1.0	84.86855419734911	1.6159455766641315						
PB.161551.121	Patient28	11	0	1473	1202	7467.75288526816	0.0	1.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	299.0	165.0	0.03678929765886288	0.0	0.00746775288526816	0.0	1.0	0.0	1.0	165.55320989076677	3.152227344458394						
PB.161551.121	Patient30	1	0	1658	1808	603.1363088057901	0.0	7.0	18.5	0.0	0.0	553.9135859123627	92.02115523982647	SRSF6	496.0	127.0	0.0020161290322580645	0.0	0.0006031363088057901	0.0	1.0	0.0	1.0	85.37618140383734	1.6256110876025118						
